"id","tenantid","businessservice","businessid","action","status","comment","assigner","assignee","statesla","previousstatus","createdby","lastmodifiedby","createdtime","lastmodifiedtime","modulename","businessservicesla","rating","escalated"
"d0f77fe9-1355-4b25-be94-3c7c0efcead6","pg.citya","PGR","PG-PGR-2025-04-01-000038","APPLY","a6c9afcd-42c4-4d6c-8396-d02dd152236e",NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa",NULL,NULL,NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","1743490565213","1743490565213","pgr-services","432000000",NULL,False
"b9564b5e-04c1-4799-a1f5-929eeeb9c79c","pg.citya","PGR","PG-PGR-2025-04-02-000039","APPLY","a6c9afcd-42c4-4d6c-8396-d02dd152236e",NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa",NULL,NULL,NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","1743585119847","1743585119847","pgr-services","432000000",NULL,False
"e729f294-afd3-442c-a6ae-4f75ee601a1e","pg.citya","PGR","PG-PGR-2025-04-02-000040","APPLY","a6c9afcd-42c4-4d6c-8396-d02dd152236e",NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa",NULL,NULL,NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","1743586000501","1743586000501","pgr-services","432000000",NULL,False
"99700175-45e4-4fa6-bc7a-9cc7a7d23f56","pg.citya","PGR","PG-PGR-2025-04-02-000041","APPLY","a6c9afcd-42c4-4d6c-8396-d02dd152236e",NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa",NULL,NULL,NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","1743592182709","1743592182709","pgr-services","432000000",NULL,False
"3324f42c-b7d1-4d38-aaf1-687c1af80983","pg.citya","PGR","PG-PGR-2025-04-03-000042","APPLY","a6c9afcd-42c4-4d6c-8396-d02dd152236e",NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa",NULL,NULL,NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","1743671999212","1743671999212","pgr-services","432000000",NULL,False
"73e5676d-1033-4295-b55e-9ec85d89f15e","pg.citya","PGR","PG-PGR-2025-04-04-000043","APPLY","a6c9afcd-42c4-4d6c-8396-d02dd152236e",NULL,"3ff201ac-f4fe-4345-8fa6-ff975bfee458",NULL,NULL,NULL,"3ff201ac-f4fe-4345-8fa6-ff975bfee458","3ff201ac-f4fe-4345-8fa6-ff975bfee458","1743746496598","1743746496598","pgr-services","432000000",NULL,False
"cd4783d9-26ae-4adf-8224-af54edb47033","pg.citya","PGR","PG-PGR-2025-04-04-000043","ASSIGN","933bdec8-5600-4ba8-ae60-4428426d7051","","3ff201ac-f4fe-4345-8fa6-ff975bfee458",NULL,"259200000",NULL,"3ff201ac-f4fe-4345-8fa6-ff975bfee458","3ff201ac-f4fe-4345-8fa6-ff975bfee458","1743746516484","1743746516484","pgr-services","431980114",NULL,False
"6836660b-0923-4565-8294-788fda14ac94","pg.citya","PGR","PG-PGR-2025-04-04-000043","REASSIGN","54fd18e9-964b-4081-82e8-35a5cbde0241","","3ff201ac-f4fe-4345-8fa6-ff975bfee458",NULL,NULL,NULL,"3ff201ac-f4fe-4345-8fa6-ff975bfee458","3ff201ac-f4fe-4345-8fa6-ff975bfee458","1743746521951","1743746521951","pgr-services","431974647",NULL,False
"ec7bfbee-80e5-468c-8c58-930948139388","pg.citya","PGR","PG-PGR-2025-04-04-000043","REASSIGN","933bdec8-5600-4ba8-ae60-4428426d7051","","3ff201ac-f4fe-4345-8fa6-ff975bfee458",NULL,"259200000",NULL,"3ff201ac-f4fe-4345-8fa6-ff975bfee458","3ff201ac-f4fe-4345-8fa6-ff975bfee458","1743746527141","1743746527141","pgr-services","431969457",NULL,False
"1d3c8b9d-bb45-4256-95bc-23cf9b112f9b","pg.citya","PGR","PG-PGR-2025-04-04-000043","RESOLVE","2a6391a4-496a-4f94-9040-6c0bf9f6c68a","","3ff201ac-f4fe-4345-8fa6-ff975bfee458",NULL,NULL,NULL,"3ff201ac-f4fe-4345-8fa6-ff975bfee458","3ff201ac-f4fe-4345-8fa6-ff975bfee458","1743746533470","1743746533470","pgr-services","431963128",NULL,False
"33e7db9d-53c4-43a3-9b78-9f8c7453413f","pg.citya","PGR","PG-PGR-2025-04-04-000043","REOPEN","a6c9afcd-42c4-4d6c-8396-d02dd152236e","","3ff201ac-f4fe-4345-8fa6-ff975bfee458",NULL,NULL,NULL,"3ff201ac-f4fe-4345-8fa6-ff975bfee458","3ff201ac-f4fe-4345-8fa6-ff975bfee458","1743746537865","1743746537865","pgr-services","431958733",NULL,False
"0be16f74-8d64-4ac7-af12-9b02a7bb3e3f","pg.citya","PGR","PG-PGR-2025-04-04-000043","ASSIGN","933bdec8-5600-4ba8-ae60-4428426d7051","","3ff201ac-f4fe-4345-8fa6-ff975bfee458",NULL,"259200000",NULL,"3ff201ac-f4fe-4345-8fa6-ff975bfee458","3ff201ac-f4fe-4345-8fa6-ff975bfee458","1743746545096","1743746545096","pgr-services","431951502",NULL,False
